"id","name","email","email_verified_at","password","role","department","phone","birth_date","gender","year","major","parent_id","remember_token","created_at","updated_at"
"1","Dr. Brook Lind","brisa.mann@example.org",NULL,"$2y$12$Xc7Wwa/l5yqqIYuLKIq3puz0XZybXiXXrz5b8uR0o8kj0mLEzZcje","professor","General Education","+1-248-983-9186","1982-08-20","male",NULL,NULL,NULL,NULL,"2025-03-12 12:20:35","2025-03-12 12:20:35"
"2","Dr. Brigitte Bergnaum","ritchie.kathlyn@example.org",NULL,"$2y$12$xHGJ3jtzMp2OsntA/Eb4p.F8IZRJhV7SPJNe/sPRmHKch015/p4GC","professor","General Education","+1 (775) 879-0046","1987-02-07","female",NULL,NULL,NULL,NULL,"2025-03-12 12:20:35","2025-03-12 12:20:35"
"3","Dr. Okey Kemmer","sturcotte@example.com",NULL,"$2y$12$inu5PN0KQJAIKUSD0x1BcO78rvYDnuBO1252hSk7pwY3hAzN4jgf6","professor","Computer Science","703-497-4920","1978-04-12","male",NULL,NULL,NULL,NULL,"2025-03-12 12:20:36","2025-03-12 12:20:36"
"4","Dr. Ella Skiles","otha.mcglynn@example.net",NULL,"$2y$12$7wkzcshgTcLHzFe245od6OyR7BgrO3vzuiv///4EisJwR9skgenpO","professor","Computer Science","(283) 489-7696","1973-12-24","female",NULL,NULL,NULL,NULL,"2025-03-12 12:20:36","2025-03-12 12:20:36"
"5","Dr. Fritz Mosciski","cassin.garrick@example.net",NULL,"$2y$12$VBh4aIeGNaJIAzDBuVNq6OtWZFxI5I4y/3F4d9cxG/pegrroi/HCu","professor","Artificial Intelligence","1-605-550-0114","1982-07-06","male",NULL,NULL,NULL,NULL,"2025-03-12 12:20:36","2025-03-12 12:20:36"
"6","Dr. Kevon Parker","thomas.fritsch@example.net",NULL,"$2y$12$M/7fBAKcTolFh4qhkoMXBOJwVR95TDqQGHd91/MX3ubhw2l.6QV9u","professor","Artificial Intelligence","1-629-599-7867","1976-06-03","male",NULL,NULL,NULL,NULL,"2025-03-12 12:20:36","2025-03-12 12:20:36"
"7","Dr. Edd Gusikowski","pattie17@example.com",NULL,"$2y$12$Yqe163RBhopll5TzS849LOMx.vhBbXFtCrHsD5MWrMSaZSezK/z0S","professor","Information System","+1 (432) 882-6174","1970-02-16","male",NULL,NULL,NULL,NULL,"2025-03-12 12:20:37","2025-03-12 12:20:37"
"8","Dr. Nestor Kohler","kerluke.barbara@example.net",NULL,"$2y$12$a4rjl4cfOv6cLnyOjcbwY.iY4jK1mp57A3zfd48TXC.txViNGPzGu","professor","Information System","+19512783396","1979-04-07","male",NULL,NULL,NULL,NULL,"2025-03-12 12:20:37","2025-03-12 12:20:37"
"9","Marquis Champlin","kbaumbach@example.org",NULL,"$2y$12$32OW6xX07cqKT.ae2PPIXudV0WF.XKCiq7OvMfcHRt5UPbqnlU/9q","student",NULL,"(463) 639-8457","2002-11-05","male","freshman",NULL,NULL,NULL,"2025-03-12 12:20:37","2025-03-12 12:20:37"
"10","Eden Labadie","gkunze@example.org",NULL,"$2y$12$JlZzWWR4eF1s6/JgGP/3uuCthlVEeZqb42Aj.y.vbzneY1wj.CdAK","student",NULL,"(806) 964-8087","1997-02-26","female","freshman",NULL,NULL,NULL,"2025-03-12 12:20:37","2025-03-12 12:20:37"
"11","Cierra Mosciski","little.edwina@example.net",NULL,"$2y$12$gTDXsNwqakUfqH3P8H70OedbvOJWj0twtGcn/BY.DOhvRIhiEqDSq","student",NULL,"+1.772.489.5544","2001-01-04","female","sophomore",NULL,NULL,NULL,"2025-03-12 12:20:38","2025-03-12 12:20:38"
"12","Caleigh Dicki","yadira.medhurst@example.com",NULL,"$2y$12$8LNJCCNjf5bT3d5LR9/Jm.OsdO8inyVS5ohehbCFKwU1GK7FK8snW","student",NULL,"909-896-2565","2001-03-07","female","sophomore",NULL,NULL,NULL,"2025-03-12 12:20:38","2025-03-12 12:20:38"
"13","Reina Satterfield","sadie.lind@example.net",NULL,"$2y$12$CnZlKG9VeR7DPYu8v4d5WeLjJv9hsZuhGsp3EHBIPC2Mea3ChwZRi","student",NULL,"317-235-3119","1995-06-15","female","junior","Computer Science","15",NULL,"2025-03-12 12:20:38","2025-03-12 12:20:38"
"14","Lavern Grant","heller.cade@example.com",NULL,"$2y$12$T6gxbYd3YETqUYRTggKw/eUb5CsODsoI8smlbv0qEwFBMss2Xpf.S","student",NULL,"+1 (318) 554-5872","2005-12-18","male","junior","Computer Science","16",NULL,"2025-03-12 12:20:38","2025-03-12 12:20:39"
"15","Mrs. Alverta McGlynn","tharber@example.com",NULL,"$2y$12$H.2BYWQfxnnnpjqyLFOL2OvrIwtOxkMvCVbtNMLFnH7FNM5O99wSa","parent",NULL,"+1 (918) 672-6056","1966-05-23","female",NULL,NULL,NULL,NULL,"2025-03-12 12:20:38","2025-03-12 12:20:38"
"16","Mr. Darian Orn","scummings@example.org",NULL,"$2y$12$tYgsP2eCIwAz87dnTMFKdeA7RxHQLjo.7r51hkDy6agqW0vkeuDV.","parent",NULL,"815.245.9946","1978-10-05","male",NULL,NULL,NULL,NULL,"2025-03-12 12:20:39","2025-03-12 12:20:39"
"17","Marty Nitzsche","jarvis.aufderhar@example.org",NULL,"$2y$12$DXT4QZpn0UbqoydpgNYWUOHNuu/BI.RHG3CY8TxjpGMEEC.LHKKZ6","student",NULL,"1-986-635-6275","1997-05-10","male","junior","Artificial Intelligence","19",NULL,"2025-03-12 12:20:39","2025-03-12 12:20:39"
"18","Selmer Hammes","fgraham@example.com",NULL,"$2y$12$524HWqTpzVxKmdU0Mjrwnee17L4y/wiIQd2J4bR5NhXcE88oMXKHK","student",NULL,"1-716-206-7078","2001-12-26","male","junior","Artificial Intelligence","20",NULL,"2025-03-12 12:20:39","2025-03-12 12:20:40"
"19","Mrs. Vernice Walker","schuppe.rhiannon@example.net",NULL,"$2y$12$koWyOiNSk0zvzKviRfWtie/FJuOmRyGH3Bw2/dIMHP/buaJkJBanW","parent",NULL,"325.814.2742","1980-10-28","female",NULL,NULL,NULL,NULL,"2025-03-12 12:20:39","2025-03-12 12:20:39"
"20","Mrs. Ciara Wisoky","reid.bergnaum@example.com",NULL,"$2y$12$TFZVhemu3yVzqRAlbWPoU.V5VUi.pydlCXYKbPFovjrpSbPIJIaHq","parent",NULL,"281.537.7293","1970-07-13","female",NULL,NULL,NULL,NULL,"2025-03-12 12:20:40","2025-03-12 12:20:40"
"21","Dedrick Morar","tito.kulas@example.net",NULL,"$2y$12$up7Z/yhX50MHzyloXCeK/OnzKqoIwbuo.uqbFXsVDeO6a8Mzck1ye","student",NULL,"415-552-0628","1998-09-18","male","junior","Information System","23",NULL,"2025-03-12 12:20:40","2025-03-12 12:20:40"
"22","Leone Donnelly","phyllis07@example.net",NULL,"$2y$12$/ME2ZLMOH3ptDq9rlrJw0OD8KMX2DOtnog4LLTDkMViKXBIAbHSuG","student",NULL,"+1-830-900-0110","2001-11-13","male","junior","Information System","24",NULL,"2025-03-12 12:20:40","2025-03-12 12:20:41"
"23","Mr. Ulices Gerhold","gutkowski.lemuel@example.com",NULL,"$2y$12$P40mToIGTBu0jS9pGmyr6u82VuVV6Pv/sdzYtfIhQpEgXdQqVCvx2","parent",NULL,"720-450-2594","1966-05-11","male",NULL,NULL,NULL,NULL,"2025-03-12 12:20:40","2025-03-12 12:20:40"
"24","Mr. Oran Gutmann","seth.adams@example.com",NULL,"$2y$12$e5B0D8EXXB.Zi3QrMaO0vuS0AJmHLLXxWSnwjBYeV8ahHx4/RSLpy","parent",NULL,"+15408008320","1980-07-30","male",NULL,NULL,NULL,NULL,"2025-03-12 12:20:40","2025-03-12 12:20:40"
"25","Lincoln Adams","kilback.javonte@example.net",NULL,"$2y$12$szi0KfTgRzpvNbuSDgtKJuDFoeNhgZuxpLYVgRP4YHpaySUCMn8RK","student",NULL,"(661) 262-6257","2002-02-23","male","senior","Computer Science","27",NULL,"2025-03-12 12:20:41","2025-03-12 12:20:41"
"26","Imogene Donnelly","gene15@example.net",NULL,"$2y$12$Xred5fEflhyJi7BPFa3Mb.wnrSIlvKsdUjkrsfuuSkpRK2K9KAaYK","student",NULL,"1-518-213-8985","2006-01-17","female","senior","Computer Science","28",NULL,"2025-03-12 12:20:41","2025-03-12 12:20:41"
"27","Mr. Roosevelt Moen","howe.rafaela@example.net",NULL,"$2y$12$jDogRx.McTa5EiIut8BxBuLk/6PtLrAJJukq5BpTw35Y8ucfidEKe","parent",NULL,"+1 (310) 346-5603","1971-03-30","male",NULL,NULL,NULL,NULL,"2025-03-12 12:20:41","2025-03-12 12:20:41"
"28","Mr. Eldred Hegmann","ucassin@example.net",NULL,"$2y$12$YzZhF28Gc9lTuYFP60MH9O.HKG0WPNpZtsaIRsDtkB7NWGv6E8oJW","parent",NULL,"940-554-0750","1980-10-18","male",NULL,NULL,NULL,NULL,"2025-03-12 12:20:41","2025-03-12 12:20:41"
"29","Sheila Vandervort","wendell.mayer@example.net",NULL,"$2y$12$VYDsLyhrAIjyaVqtPjKm9Og73Nx3hc6YMkG8S7w1Y27j3lI3Athvm","student",NULL,"1-731-530-0471","2003-09-08","female","senior","Artificial Intelligence","31",NULL,"2025-03-12 12:20:42","2025-03-12 12:20:42"
"30","Ayana Turner","beatrice82@example.com",NULL,"$2y$12$3yEVXig46RI9Z9R3050r0Oq7UAZk25ohEuALlEDaTKno5UuUV8Eue","student",NULL,"+13462151796","2005-10-13","female","senior","Artificial Intelligence","32",NULL,"2025-03-12 12:20:42","2025-03-12 12:20:43"
"31","Mrs. Eliane Hamill","abatz@example.net",NULL,"$2y$12$w7mFzvXjWVPXRJNj2vhMMOXp.eQ90iHo7pFlRr5pdlSayzSr90oe6","parent",NULL,"+1-229-360-6072","1976-01-28","female",NULL,NULL,NULL,NULL,"2025-03-12 12:20:42","2025-03-12 12:20:42"
"32","Mr. Derick Buckridge","stacey.mayer@example.net",NULL,"$2y$12$.vCWtKa4UZT3kMb1pZpRzeWfod8Z0pJCiFxEnEzznuq0I/MYEWCD.","parent",NULL,"+1-417-215-2606","1979-02-27","male",NULL,NULL,NULL,NULL,"2025-03-12 12:20:43","2025-03-12 12:20:43"
"33","Scottie Schiller","jfay@example.org",NULL,"$2y$12$7OqnUFLVxHNQCBw4nmcfl.B3hrxaBOJo.KeTCGGCB/6FaMD/biOTS","student",NULL,"+18784461851","2001-08-07","male","senior","Information System","35",NULL,"2025-03-12 12:20:43","2025-03-12 12:20:43"
